wikipedia_title,wikidata_id,party_raw,party_group
A. Wess Mitchell,Q38746450,,Other
A. William Schenck,Q4648539,,Other
A. Williamson,Q111319489,,Other
A. Willis Robertson,Q331714,Democratic Party,Democrat
A. Y. Milam,Q99690280,Democratic Party,Democrat
A.C. Cordoza,Q110800189,Republican Party,Republican
A.D. Splivalo,Q16885828,,Other
A.T. Frank,Q16196466,Democratic Party,Democrat
AJ Louderback,Q131618817,,Other
Aaron A. F. Seawell,Q4661789,,Other
Aaron A. Sargent,Q301711,Republican Party,Republican
Aaron Alpeoria Bradley,Q16063286,,Other
Aaron Aylward,Q105695326,Republican Party,Republican
Aaron B. Gardenier,Q106560627,Republican Party,Republican
Aaron B. Rollins,Q20986518,Democratic Party,Democrat
Aaron Bean,Q4661833,Republican Party,Republican
Aaron Bernstine,Q47089805,Republican Party,Republican
Aaron Broussard,Q4661874,Democratic Party,Democrat
Aaron Burr,Q179090,Democratic-Republican Party,Democrat
Aaron C. Jackson,Q137380808,,Other
Aaron Clark,Q4661914,Whig Party,Other
Aaron Clausen,Q28131355,Republican Party,Republican
Aaron Cohen (Deputy NASA administrator),Q4661926,,Other
Aaron Coleman,Q101195973,Democratic Party,Democrat
Aaron Commodore,Q20707191,,Other
Aaron D. Truesdell,Q104045246,,Other
Aaron Dixon,Q4661971,Green Party of the United States,Other
Aaron E. Waite,Q4661986,Democratic Party,Democrat
Aaron F. Perry,Q301993,Republican Party,Republican
Aaron Fletcher Stevens,Q302017,Republican Party,Republican
Aaron Ford (Mississippi politician),Q201057,Democratic Party,Democrat
Aaron Ford (Nevada politician),Q4661949,Democratic Party,Democrat
Aaron Freeman (politician),Q55603051,Republican Party,Republican
Aaron Frey,Q59660288,Democratic Party,Democrat
Aaron Fussell,Q17331560,Democratic Party,Democrat
Aaron Goodrich,Q15485941,Republican Party,Republican
Aaron Griesheimer,Q113856089,Republican Party,Republican
Aaron H. Conrow,Q302069,Democratic Party,Democrat
Aaron H. Cragin,Q302075,Republican Party,Republican
Aaron H. Grout,Q16004038,Republican Party,Republican
Aaron Hackley Jr.,Q3661160,,Other
Aaron Hankinson,Q14629365,,Other
Aaron Harding,Q302082,Democratic Party,Democrat
Aaron Harlan,Q4662074,Republican Party,Republican
Aaron Henry (politician),Q15489719,Democratic Party,Democrat
Aaron Hobart,Q302095,Democratic-Republican Party,Democrat
Aaron J. Levy,Q18349731,Democratic Party,Democrat
Aaron Jack,Q4662113,Republican Party,Republican
Aaron Jaffe,Q28474379,Democratic Party,Democrat
Aaron Kaufer,Q18619045,Republican Party,Republican
Aaron Kaufman (politician),Q115934313,Democratic Party,Democrat
Aaron Kimball,Q112315493,,Other
Aaron Kitchell,Q302196,Democratic-Republican Party,Democrat
Aaron Krauter,Q4662161,Democratic Party,Democrat
Aaron Leland,Q4662192,Anti-Masonic Party,Other
Aaron Libby,Q4662206,Republican Party,Republican
Aaron Lieberman,Q60736984,Democratic Party,Democrat
Aaron Ling Johanson,Q16730316,Republican Party,Republican
Aaron Lyle,Q4662225,Republican Party,Republican
Aaron Manasses McMillan,Q21176713,Republican Party,Republican
Aaron Matson,Q180092,,Other
Aaron McMullen,Q124020332,Republican Party,Republican
Aaron McWilliams,Q60672169,Republican Party,Republican
Aaron Michlewitz,Q4662260,Democratic Party,Democrat
Aaron Miller (politician),Q75007961,Republican Party,Republican
Aaron Márquez,Q131196356,Democratic Party,Democrat
Aaron Ogden,Q302436,Federalist Party,Other
Aaron Ortiz,Q58494558,Democratic Party,Democrat
Aaron Osmond,Q4662303,Republican Party,Republican
Aaron Peskin,Q4662323,Democratic Party,Democrat
Aaron Peterson,Q4662325,Democratic Party,Democrat
Aaron Peña,Q4662326,Republican Party,Republican
Aaron Pilkington,Q30715723,Republican Party,Republican
Aaron Reardon (politician),Q4662354,Democratic Party,Democrat
Aaron Regunberg,Q24900951,Democratic Party,Democrat
Aaron Rehkop,Q18210884,Republican Party,Republican
Aaron Repinski,Q131957979,Republican Party,Republican
Aaron Rouse,Q2820087,,Other
Aaron S. Kreider,Q4662428,Republican Party,Republican
Aaron S. Watkins,Q4662390,Prohibition Party,Other
Aaron Saunders,Q125101524,Democratic Party,Democrat
Aaron Schock,Q302659,Republican Party,Republican
Aaron Shaw,Q4662425,Democratic Party,Democrat
Aaron Stiles,Q55587555,Republican Party,Republican
Aaron T. Bliss,Q302844,Republican Party,Republican
Aaron Thompson (politician),Q131573178,Republican Party,Republican
Aaron V. Brown,Q302874,Democratic Party,Democrat
Aaron Vale Blackford,Q111801338,Republican Party,Republican
Aaron Van Schaick Cochrane,Q4662500,Republican Party,Republican
Aaron Vanderpoel,Q1383031,Democratic Party,Democrat
Aaron Vega,Q16886311,Democratic Party,Democrat
Aaron W. Plyler,Q25999706,Democratic Party,Democrat
Aaron W. Quick,Q125219011,,Other
Aaron W. Sawyer,Q108325091,,Other
Aaron Walters,Q22019559,Democratic Party,Democrat
Aaron Ward (representative),Q612451,Democratic Party,Democrat
Aaron Woodruff,Q4662554,,Other
Aaron von Ehlinger,Q106532183,Republican Party,Republican
Ab Jenkins,Q4662996,,Other
Abbas Akhil,Q91258802,Democratic Party,Democrat
Abbey Duke,Q125854581,Democratic Party,Democrat
Abbie Cornett,Q4664135,Republican Party,Republican
Abbie Hoffman,Q306514,Democratic Party,Democrat
Abbot Low Moffat,Q16013705,Republican Party,Republican
Abbott Barnes Rice,Q4664353,,Other
Abbott Lawrence,Q306762,National Republican Party,Republican
Abbott M. Washburn,Q63298079,Republican Party,Republican
Abby Angelos,Q116178016,Republican Party,Republican
Abby Finkenauer,Q24435337,Democratic Party,Democrat
Abby Lee (politician),Q27680099,Republican Party,Republican
Abby Major,Q107231151,Republican Party,Republican
Abdelnasser Rashid,Q116643365,Democratic Party,Democrat
Abden Simmons,Q117848342,Republican Party,Republican
Abdi Hasan Awale,Q308145,Somali National Alliance,Other
Abdi Warsame,Q17027562,Minnesota Democratic–Farmer–Labor Party,Democrat
Abdiel Crossman,Q4664967,Whig Party,Other
Abdiweli Gaas,Q1777401,,Other
Abdul Hassan (lawyer),Q16210709,,Other
Abdullah Hammoud,Q58494988,Democratic Party,Democrat
Abe Aronovitz,Q4666367,,Other
Abe Brault,Q91997493,Democratic Party,Democrat
Abe Deutschendorf,Q4666378,Democratic Party,Democrat
Abe E. Pierce III,Q16095827,Democratic Party,Democrat
Abe Goff,Q318147,Republican Party,Republican
Abe Jones (politician),Q108180539,Democratic Party,Democrat
Abe L. Biglow,Q19662308,Republican Party,Republican
Abe M. Hudson Jr.,Q106770039,Democratic Party,Democrat
Abe Murdock,Q1332532,Democratic Party,Democrat
Abe Stark,Q4666442,,Other
Abel C. Pepper,Q88972543,,Other
Abel Darlington,Q124014045,Republican Party,Republican
Abel Godard,Q4666564,Republican Party,Republican
Abel Herrero,Q16205383,Democratic Party,Democrat
Abel Huntington,Q74349,Democratic Party,Democrat
Abel John Evans,Q4666585,Democratic Party,Democrat
Abel Maldonado,Q4666597,Republican Party,Republican
Abel Millington,Q104537470,,Other
Abel P. Upshur,Q318482,Whig Party,Other
Abel Pacheco Jr.,Q130261384,,Other
Abel Spencer,Q4666624,,Other
Abel Stearns,Q4666626,,Other
Abel Tapia,Q4666632,Democratic Party,Democrat
Abel Underwood,Q55418470,Whig Party,Other
Abel de Luna,Q131559304,,Other
Abelardo de la Espriella,Q137204778,independent politician,Other
Abhay Patel,Q26923183,Republican Party,Republican
Abiah W. Palmer,Q4667541,Republican Party,Republican
Abiel Foster,Q320910,Federalist Party,Other
Abiel Wood,Q320912,Democratic-Republican Party,Democrat
Abigail Adams,Q206191,,Other
Abigail Campbell Kawānanakoa,Q4667670,Republican Party,Republican
Abigail Fillmore,Q234266,,Other
Abigail McCarthy,Q4667698,,Other
Abigail Salisbury,Q116728522,Democratic Party,Democrat
Abigail Spanberger,Q55603085,Democratic Party,Democrat
Abigail Whelan,Q19667151,Republican Party,Republican
Abijah Beckwith (New York politician),Q4667731,Democratic Party,Democrat
Abijah Beckwith (Wisconsin politician),Q20810474,Republican Party,Republican
Abijah Bigelow,Q321172,Federalist Party,Other
Abijah Catlin,Q23302802,,Other
Abijah Cheever,Q16199829,,Other
Abijah Gilbert,Q321179,Republican Party,Republican
Abijah J. Wellman,Q4667732,Republican Party,Republican
Abijah Mann Jr.,Q3388776,Democratic Party,Democrat
Abiram Chamberlain,Q321429,Republican Party,Republican
Abner C. Brownell,Q4668117,Democratic Party,Democrat
Abner C. Harding,Q4668116,Republican Party,Republican
Abner C. Mattoon,Q4668118,Republican Party,Republican
Abner Coburn,Q167227,Republican Party,Republican
Abner Hazeltine,Q4668137,Anti-Masonic Party,Other
Abner Kirby,Q4668141,Democratic Party,Democrat
Abner Lacock,Q322539,Democratic-Republican Party,Democrat
Abner Lewis,Q4668144,Republican Party,Republican
Abner M. Bradbury,Q88994130,,Other
Abner Mikva,Q4320649,Democratic Party,Democrat
Abner Nash,Q322542,,Other
Abner Nichols,Q21068996,Democratic Party,Democrat
Abner Pratt,Q20709617,,Other
Abner S. Flagg,Q21176938,Republican Party,Republican
Abner Taylor,Q4250429,Republican Party,Republican
Abner W. C. Nowlin,Q30070983,,Other
Abner W. Sibal,Q322548,Republican Party,Republican
Abner Weed,Q16886485,,Other
Aboul Khan,Q101438933,Republican Party,Republican
Abra J. Powers,Q111226682,,Other
Abra K. Maynard,Q111226652,,Other
Abraham A. Deyo,Q4668729,Democratic Party,Democrat
Abraham A. Pennington,Q19975052,Democratic Party,Democrat
Abraham Aiyash,Q98940411,Democratic Party,Democrat
Abraham Andrews Barker,Q4668747,Republican Party,Republican
Abraham B. Gardner,Q4668759,Republican Party,Republican
Abraham B. Tappen,Q4668760,,Other
Abraham B. Venable,Q329740,Democratic-Republican Party,Democrat
Abraham Baldwin,Q329766,Democratic-Republican Party,Democrat
Abraham Beame,Q329910,Democratic Party,Democrat
Abraham Beckerman,Q40601700,Socialist Party of America,Other
Abraham Benjamin Conger,Q4668768,,Other
Abraham Bernstein (politician),Q17403838,Democratic Party,Democrat
Abraham Bockee,Q774493,Democratic Party,Democrat
Abraham Bowman,Q4668781,,Other
Abraham Browning,Q18578662,Democratic Party,Democrat
Abraham Bruyn Hasbrouck,Q1108127,,Other
Abraham C. Ratshesky,Q83813496,,Other
Abraham Cahan,Q329854,Socialist Party of America,Other
Abraham Cairns,Q135552800,,Other
Abraham Clark,Q329870,Pro-Administration Party,Other
Abraham Cole,Q117388953,Democratic Party,Democrat
Abraham Curry,Q4668825,,Other
Abraham D. Andrews,Q24893418,Republican Party,Republican
Abraham Davenport,Q4668828,,Other
Abraham Dowdney,Q2377496,Democratic Party,Democrat
Abraham Dudley Baldwin,Q19865488,,Other
Abraham Edwards (Massachusetts politician),Q16065639,,Other
Abraham Ellison Garrett,Q329956,Democratic Party,Democrat
Abraham G. Gerges,Q65095605,Democratic Party,Democrat
Abraham Galloway,Q20963511,,Other
Abraham Godwin,Q42887090,Democratic Party,Democrat
Abraham Greenberg,Q15996432,Democratic Party,Democrat
Abraham Grenthal,Q110307916,Republican Party,Republican
Abraham H. Schenck,Q501769,,Other
Abraham Hamadeh,Q124307977,Republican Party,Republican
Abraham Harawitz,Q109120880,Democratic Party,Democrat
Abraham Hirschfeld,Q4668908,,Other
Abraham I. Shiplacoff,Q4669175,Socialist Party of America,Other
Abraham Iverson,Q16849124,,Other
Abraham J. Hasbrouck,Q1107855,,Other
Abraham J. Hostetler,Q330092,Democratic Party,Democrat
Abraham J. Multer,Q2633194,Democratic Party,Democrat
Abraham J. Palmer,Q4668939,Republican Party,Republican
Abraham J. Williams,Q330097,Democratic-Republican Party,Democrat
Abraham Jonas (politician),Q4668942,Republican Party,Republican
Abraham Jones (New York politician),Q16929669,,Other
Abraham Jones (North Carolina politician),Q16929670,,Other
Abraham K. Allison,Q330147,Democratic Party,Democrat
Abraham Kaiser,Q110802431,Republican Party,Republican
Abraham Kasparian,Q65049839,,Other
Abraham Kazen,Q330149,Democratic Party,Democrat
Abraham Keyser Jr.,Q4668958,,Other
Abraham L. Brick,Q330197,Republican Party,Republican
Abraham L. Cohn,Q26179284,Republican Party,Republican
Abraham L. Grootemaat,Q21664476,Republican Party,Republican
Abraham L. Lawyer,Q16066321,Democratic Party,Democrat
Abraham Lansing,Q4668973,Democratic Party,Democrat
Abraham Lent (New York politician),Q4668979,Republican Party,Republican
Abraham Lincoln,Q91,Republican Party,Republican
Abraham Lincoln Davis,Q113861451,Democratic Party,Democrat
Abraham Lincoln Keister,Q4669034,Republican Party,Republican
Abraham Lincoln Marovitz,Q4669038,,Other
Abraham M. Schermerhorn,Q4669068,Republican Party,Republican
Abraham McClellan (Missouri politician),Q4669087,Democratic Party,Democrat
Abraham McClellan (Tennessee politician),Q330322,Democratic Party,Democrat
Abraham Middlesworth,Q92234954,,Other
Abraham Miller,Q105554890,,Other
Abraham Nicholas,Q4669112,,Other
Abraham Nott,Q330433,Federalist Party,Other
Abraham O. Smoot,Q4669116,,Other
Abraham Ogden,Q4669118,,Other
Abraham Owen,Q4669119,,Other
Abraham P. Grant,Q3700962,Democratic Party,Democrat
Abraham P. Holmes,Q114592419,,Other
Abraham P. Stephens,Q1156097,Democratic Party,Democrat
Abraham Prickett,Q134958508,,Other
Abraham Rafie,Q115898883,Republican Party,Republican
Abraham Rencher,Q330537,Democratic Party,Democrat
Abraham Ribicoff,Q323417,Democratic Party,Democrat
Abraham Robinson McIlvaine,Q4669151,,Other
Abraham Schenck (New York senator),Q4669172,,Other
Abraham Shepherd,Q4669174,Democratic Party,Democrat
Abraham Sheppard,Q61918829,,Other
Abraham Shushan,Q16885667,,Other
Abraham Ten Broeck,Q330644,Federalist Party,Other
Abraham V. Harpending,Q4669208,Republican Party,Republican
Abraham V. Schenck,Q4669207,,Other
Abraham Van Vechten,Q4669215,federalist,Other
Abraham Van Vorhes,Q16063493,Republican Party,Republican
Abraham Vanderveer,Q194717,Democratic Party,Democrat
Abraham Watkins Venable,Q330690,Democratic Party,Democrat
Abraham X. Parker,Q4669238,Republican Party,Republican
Abraham Yates Jr.,Q330718,,Other
Abram B. Olin,Q2592932,Republican Party,Republican
Abram B. Steele,Q123862714,Republican Party,Republican
Abram Claude,Q20706888,,Other
Abram Colby,Q4669343,Republican Party,Republican
Abram Comingo,Q331035,Democratic Party,Democrat
Abram Dannerly,Q104520550,,Other
Abram Dixon,Q4669348,Whig Party,Other
Abram Fulkerson,Q331044,Democratic Party,Democrat
Abram G. Ensor,Q115528714,,Other
Abram Hatch,Q4669358,,Other
Abram Hewitt,Q2738550,Democratic Party,Democrat
Abram Irvin McDowell,Q16859235,,Other
Abram M. Fridley,Q4669373,,Other
Abram M. Scott,Q331063,Democratic Party,Democrat
Abram Maury Sr.,Q125265105,,Other
Abram Ozmun,Q16062803,,Other
Abram Penn Staples,Q4669379,Democratic Party,Democrat
Abram Poindexter Maury,Q331072,National Republican Party,Republican
Abram S. Piatt,Q4669383,,Other
Abram Trigg,Q331081,Democratic-Republican Party,Democrat
Abram Troup,Q134357368,,Other
Abram W. Foote,Q4669388,Republican Party,Republican
Abram W. Hendricks,Q88999788,,Other
Abram Wakeman,Q1383679,Republican Party,Republican
Abram Williams,Q331073,Republican Party,Republican
Absalom Barrett Hallock,Q131753505,,Other
Absalom Harris Chappell,Q331703,Whig Party,Other
Absalom J. Hembree,Q4669648,,Other
Absalom Koiner,Q111011737,Democratic Party,Democrat
Absalom Tatom,Q331709,,Other
Absolom Gant,Q92355766,Democratic Party,Democrat
Absolom M. West,Q4669750,Democratic Party,Democrat
Achille Murat,Q601374,,Other
Achilles Morris,Q125948167,Democratic Party,Democrat
Achsa E. Paxman,Q39286970,Republican Party,Republican
Ada Deer,Q4678247,Democratic Party,Democrat
Ada Fisher,Q4678253,Republican Party,Republican
Ada García Montes,Q118567773,,Other
Ada L. Smith,Q4678297,Democratic Party,Democrat
Adam A. Schider,Q19518088,Republican Party,Republican
Adam Anderson (politician),Q115374851,Republican Party,Republican
Adam Apple,Q41783536,Democratic Party,Democrat
Adam Bass (politician),Q123133262,Republican Party,Republican
Adam Beattie,Q4678686,Republican Party,Republican
Adam Beeler,Q23073458,Republican Party,Republican
Adam Benjamin Jr.,Q348740,Democratic Party,Democrat
Adam Bernbaum,Q131293619,Democratic Party,Democrat
Adam Bird,Q105045533,Republican Party,Republican
Adam Boehler,Q79484036,,Other
Adam Botana,Q107310840,Republican Party,Republican
Adam Bowling,Q111962395,Republican Party,Republican
Adam Boyd (politician),Q224848,,Other
Adam Bradley (politician),Q4678771,Democratic Party,Democrat
Adam Brown (Illinois politician),Q4678788,Republican Party,Republican
Adam Brown Littlepage,Q348905,Democratic Party,Democrat
Adam Burkhammer,Q107184230,Republican Party,Republican
Adam C. Cliffe,Q4678814,,Other
Adam C. Listman,Q99735328,Republican Party,Republican
Adam Clarke Dodge,Q41794626,Republican Party,Republican
Adam Clayton Powell IV,Q4678868,Democratic Party,Democrat
Adam Clayton Powell Jr.,Q1050018,Democratic Party,Democrat
Adam Comstock,Q24436159,,Other
Adam Dread,Q4678984,,Other
Adam Driggs,Q4678986,Republican Party,Republican
Adam Dunsby,Q116734520,,Other
Adam E. Ray,Q16873361,,Other
Adam Ebbin,Q349230,Democratic Party,Democrat
Adam Eckfeldt,Q4679007,,Other
Adam F. Poltl,Q18207313,Wisconsin Progressive Party,Other
Adam Fetterman,Q4679042,Democratic Party,Democrat
Adam Frisch,Q113366794,,Other
Adam G. Hinds,Q50874866,Democratic Party,Democrat
Adam Gachet,Q108427328,,Other
Adam Gardiner (politician),Q60736269,Republican Party,Republican
Adam Gomez,Q102070940,Democratic Party,Democrat
Adam Goode,Q4679131,Democratic Party,Democrat
Adam Gray,Q3000097,Democratic Party,Democrat
Adam Gregg,Q30070469,Republican Party,Republican
Adam Harris,Q4679190,Republican Party,Republican
Adam Hasner,Q4679197,Republican Party,Republican
Adam Hattersley,Q58975055,Democratic Party,Democrat
Adam Hertz,Q36851946,Republican Party,Republican
Adam Hollier,Q76373561,Democratic Party,Democrat
Adam Holmes,Q66144605,Republican Party,Republican
Adam Huntsman,Q349808,Democratic Party,Democrat
Adam Jarchow,Q18631575,Republican Party,Republican
Adam John Glossbrenner,Q4679302,Democratic Party,Democrat
Adam King (congressman),Q4679346,Democratic Party,Democrat
Adam Kinzinger,Q349955,Republican Party,Republican
Adam Kline,Q4679354,Democratic Party,Democrat
Adam Koc,Q745248,Nonpartisan Bloc for Cooperation with the Government,Other
Adam Koenig,Q16738986,Republican Party,Republican
Adam Kwasman,Q14918304,Republican Party,Republican
Adam Levine (press aide),Q4679401,,Other
Adam Lewis Bingaman,Q4679405,,Other
Adam Lewis Duncan,Q131389966,Republican Party,Republican
Adam Lusker,Q116013561,Democratic Party,Democrat
Adam M. Brown,Q4679429,,Other
Adam M. Byrd,Q350350,Democratic Party,Democrat
Adam Mathews,Q125489205,Republican Party,Republican
Adam McMullen,Q350409,Republican Party,Republican
Adam Miller (politician),Q28314476,Democratic Party,Democrat
Adam Moore (politician),Q131450342,Democratic Party,Democrat
Adam Morfeld,Q21642812,Democratic Party,Democrat
Adam Neylon,Q16223318,Republican Party,Republican
Adam Niemerg,Q106107637,Republican Party,Republican
Adam Perez Diaz,Q42296916,Democratic Party,Democrat
Adam Presa,Q133269664,Republican Party,Republican
Adam Przeworski,Q350659,,Other
Adam Pugh,Q61982062,Republican Party,Republican
Adam Putnam,Q350663,Republican Party,Republican
Adam R. Johnson,Q105199612,,Other
Adam R. Lee,Q123674229,Democratic Party,Democrat
Adam Rankin Alexander,Q350673,Democratic Party,Democrat
Adam Ravenstahl,Q4679646,Democratic Party,Democrat
Adam Robertson (American politician),Q97275111,Republican Party,Republican
Adam Ronikier,Q4679697,National Party,Other
Adam Rosendale,Q111204056,Republican Party,Republican
